,Region,Country,City,Month,Day,Year,Celsius,ds
1301306,South/Central America & Carribean,Brazil,Sao Paulo,1,1,1995,22.0,1995-01-01
1301307,South/Central America & Carribean,Brazil,Sao Paulo,1,2,1995,23.0,1995-01-02
1301308,South/Central America & Carribean,Brazil,Sao Paulo,1,3,1995,23.0,1995-01-03
1301309,South/Central America & Carribean,Brazil,Sao Paulo,1,4,1995,23.0,1995-01-04
1301310,South/Central America & Carribean,Brazil,Sao Paulo,1,5,1995,24.0,1995-01-05
1301311,South/Central America & Carribean,Brazil,Sao Paulo,1,6,1995,26.0,1995-01-06
1301312,South/Central America & Carribean,Brazil,Sao Paulo,1,7,1995,26.0,1995-01-07
1301313,South/Central America & Carribean,Brazil,Sao Paulo,1,8,1995,24.0,1995-01-08
1301314,South/Central America & Carribean,Brazil,Sao Paulo,1,9,1995,24.0,1995-01-09
1301315,South/Central America & Carribean,Brazil,Sao Paulo,1,10,1995,26.0,1995-01-10
1301316,South/Central America & Carribean,Brazil,Sao Paulo,1,11,1995,23.0,1995-01-11
1301317,South/Central America & Carribean,Brazil,Sao Paulo,1,12,1995,22.0,1995-01-12
1301318,South/Central America & Carribean,Brazil,Sao Paulo,1,13,1995,23.0,1995-01-13
1301319,South/Central America & Carribean,Brazil,Sao Paulo,1,14,1995,24.0,1995-01-14
1301320,South/Central America & Carribean,Brazil,Sao Paulo,1,15,1995,26.0,1995-01-15
1301321,South/Central America & Carribean,Brazil,Sao Paulo,1,16,1995,28.0,1995-01-16
1301322,South/Central America & Carribean,Brazil,Sao Paulo,1,17,1995,28.0,1995-01-17
1301323,South/Central America & Carribean,Brazil,Sao Paulo,1,18,1995,24.0,1995-01-18
1301324,South/Central America & Carribean,Brazil,Sao Paulo,1,19,1995,24.0,1995-01-19
1301325,South/Central America & Carribean,Brazil,Sao Paulo,1,20,1995,24.0,1995-01-20
1301326,South/Central America & Carribean,Brazil,Sao Paulo,1,21,1995,24.0,1995-01-21
1301327,South/Central America & Carribean,Brazil,Sao Paulo,1,22,1995,22.0,1995-01-22
1301328,South/Central America & Carribean,Brazil,Sao Paulo,1,23,1995,21.0,1995-01-23
1301329,South/Central America & Carribean,Brazil,Sao Paulo,1,24,1995,23.0,1995-01-24
1301330,South/Central America & Carribean,Brazil,Sao Paulo,1,25,1995,25.0,1995-01-25
1301331,South/Central America & Carribean,Brazil,Sao Paulo,1,26,1995,26.0,1995-01-26
1301332,South/Central America & Carribean,Brazil,Sao Paulo,1,27,1995,25.0,1995-01-27
1301333,South/Central America & Carribean,Brazil,Sao Paulo,1,28,1995,22.0,1995-01-28
1301334,South/Central America & Carribean,Brazil,Sao Paulo,1,29,1995,22.0,1995-01-29
1301335,South/Central America & Carribean,Brazil,Sao Paulo,1,30,1995,22.0,1995-01-30
1301336,South/Central America & Carribean,Brazil,Sao Paulo,1,31,1995,22.0,1995-01-31
1301337,South/Central America & Carribean,Brazil,Sao Paulo,2,1,1995,23.0,1995-02-01
1301338,South/Central America & Carribean,Brazil,Sao Paulo,2,2,1995,24.0,1995-02-02
1301339,South/Central America & Carribean,Brazil,Sao Paulo,2,3,1995,21.0,1995-02-03
1301340,South/Central America & Carribean,Brazil,Sao Paulo,2,4,1995,20.0,1995-02-04
1301341,South/Central America & Carribean,Brazil,Sao Paulo,2,5,1995,21.0,1995-02-05
1301342,South/Central America & Carribean,Brazil,Sao Paulo,2,6,1995,20.0,1995-02-06
1301343,South/Central America & Carribean,Brazil,Sao Paulo,2,7,1995,18.0,1995-02-07
1301344,South/Central America & Carribean,Brazil,Sao Paulo,2,8,1995,19.0,1995-02-08
1301345,South/Central America & Carribean,Brazil,Sao Paulo,2,9,1995,21.0,1995-02-09
1301346,South/Central America & Carribean,Brazil,Sao Paulo,2,10,1995,22.0,1995-02-10
1301347,South/Central America & Carribean,Brazil,Sao Paulo,2,11,1995,22.0,1995-02-11
1301348,South/Central America & Carribean,Brazil,Sao Paulo,2,12,1995,21.0,1995-02-12
1301349,South/Central America & Carribean,Brazil,Sao Paulo,2,13,1995,22.0,1995-02-13
1301350,South/Central America & Carribean,Brazil,Sao Paulo,2,14,1995,23.0,1995-02-14
1301351,South/Central America & Carribean,Brazil,Sao Paulo,2,15,1995,24.0,1995-02-15
1301352,South/Central America & Carribean,Brazil,Sao Paulo,2,16,1995,24.0,1995-02-16
1301353,South/Central America & Carribean,Brazil,Sao Paulo,2,17,1995,23.0,1995-02-17
1301354,South/Central America & Carribean,Brazil,Sao Paulo,2,18,1995,23.0,1995-02-18
1301355,South/Central America & Carribean,Brazil,Sao Paulo,2,19,1995,20.0,1995-02-19
1301356,South/Central America & Carribean,Brazil,Sao Paulo,2,20,1995,20.0,1995-02-20
1301357,South/Central America & Carribean,Brazil,Sao Paulo,2,21,1995,23.0,1995-02-21
1301358,South/Central America & Carribean,Brazil,Sao Paulo,2,22,1995,25.0,1995-02-22
1301359,South/Central America & Carribean,Brazil,Sao Paulo,2,23,1995,27.0,1995-02-23
1301360,South/Central America & Carribean,Brazil,Sao Paulo,2,24,1995,28.0,1995-02-24
1301361,South/Central America & Carribean,Brazil,Sao Paulo,2,25,1995,27.0,1995-02-25
1301362,South/Central America & Carribean,Brazil,Sao Paulo,2,26,1995,25.0,1995-02-26
1301363,South/Central America & Carribean,Brazil,Sao Paulo,2,27,1995,26.0,1995-02-27
1301364,South/Central America & Carribean,Brazil,Sao Paulo,2,28,1995,27.0,1995-02-28
1301365,South/Central America & Carribean,Brazil,Sao Paulo,3,1,1995,25.0,1995-03-01
1301366,South/Central America & Carribean,Brazil,Sao Paulo,3,2,1995,26.0,1995-03-02
