,Region,Country,City,Month,Day,Year,Celsius
1301306,South/Central America & Carribean,Brazil,Sao Paulo,1,1,1995,22.11111111111111
1301307,South/Central America & Carribean,Brazil,Sao Paulo,1,2,1995,23.055555555555557
1301308,South/Central America & Carribean,Brazil,Sao Paulo,1,3,1995,22.61111111111111
1301309,South/Central America & Carribean,Brazil,Sao Paulo,1,4,1995,22.61111111111111
1301310,South/Central America & Carribean,Brazil,Sao Paulo,1,5,1995,24.055555555555557
1301311,South/Central America & Carribean,Brazil,Sao Paulo,1,6,1995,25.777777777777782
1301312,South/Central America & Carribean,Brazil,Sao Paulo,1,7,1995,26.22222222222222
1301313,South/Central America & Carribean,Brazil,Sao Paulo,1,8,1995,23.72222222222222
1301314,South/Central America & Carribean,Brazil,Sao Paulo,1,9,1995,24.166666666666668
1301315,South/Central America & Carribean,Brazil,Sao Paulo,1,10,1995,25.72222222222222
1301316,South/Central America & Carribean,Brazil,Sao Paulo,1,11,1995,22.88888888888889
1301317,South/Central America & Carribean,Brazil,Sao Paulo,1,12,1995,22.277777777777775
1301318,South/Central America & Carribean,Brazil,Sao Paulo,1,13,1995,23.166666666666668
1301319,South/Central America & Carribean,Brazil,Sao Paulo,1,14,1995,24.27777777777778
1301320,South/Central America & Carribean,Brazil,Sao Paulo,1,15,1995,25.777777777777782
1301321,South/Central America & Carribean,Brazil,Sao Paulo,1,16,1995,28.166666666666668
1301322,South/Central America & Carribean,Brazil,Sao Paulo,1,17,1995,27.5
1301323,South/Central America & Carribean,Brazil,Sao Paulo,1,18,1995,23.72222222222222
1301324,South/Central America & Carribean,Brazil,Sao Paulo,1,19,1995,24.27777777777778
1301325,South/Central America & Carribean,Brazil,Sao Paulo,1,20,1995,23.77777777777778
1301326,South/Central America & Carribean,Brazil,Sao Paulo,1,21,1995,23.77777777777778
1301327,South/Central America & Carribean,Brazil,Sao Paulo,1,22,1995,21.77777777777778
1301328,South/Central America & Carribean,Brazil,Sao Paulo,1,23,1995,21.444444444444443
1301329,South/Central America & Carribean,Brazil,Sao Paulo,1,24,1995,22.666666666666668
1301330,South/Central America & Carribean,Brazil,Sao Paulo,1,25,1995,24.72222222222222
1301331,South/Central America & Carribean,Brazil,Sao Paulo,1,26,1995,25.666666666666668
1301332,South/Central America & Carribean,Brazil,Sao Paulo,1,27,1995,24.72222222222222
1301333,South/Central America & Carribean,Brazil,Sao Paulo,1,28,1995,22.16666666666667
1301334,South/Central America & Carribean,Brazil,Sao Paulo,1,29,1995,21.999999999999996
1301335,South/Central America & Carribean,Brazil,Sao Paulo,1,30,1995,22.055555555555557
1301336,South/Central America & Carribean,Brazil,Sao Paulo,1,31,1995,22.22222222222222
1301337,South/Central America & Carribean,Brazil,Sao Paulo,2,1,1995,22.88888888888889
1301338,South/Central America & Carribean,Brazil,Sao Paulo,2,2,1995,23.72222222222222
1301339,South/Central America & Carribean,Brazil,Sao Paulo,2,3,1995,20.833333333333332
1301340,South/Central America & Carribean,Brazil,Sao Paulo,2,4,1995,19.88888888888889
1301341,South/Central America & Carribean,Brazil,Sao Paulo,2,5,1995,20.72222222222222
1301342,South/Central America & Carribean,Brazil,Sao Paulo,2,6,1995,19.72222222222222
1301343,South/Central America & Carribean,Brazil,Sao Paulo,2,7,1995,18.388888888888886
1301344,South/Central America & Carribean,Brazil,Sao Paulo,2,8,1995,19.388888888888893
1301345,South/Central America & Carribean,Brazil,Sao Paulo,2,9,1995,20.777777777777782
1301346,South/Central America & Carribean,Brazil,Sao Paulo,2,10,1995,22.333333333333332
1301347,South/Central America & Carribean,Brazil,Sao Paulo,2,11,1995,21.833333333333332
1301348,South/Central America & Carribean,Brazil,Sao Paulo,2,12,1995,21.166666666666664
