Indice da Coluna,Nome da Coluna,Tipo de variavel
1,ESTACAO,object
2,DATA (YYYY-MM-DD,object
3,HORA (UTC),object 
4,PRECIPITACAO TOTAL HORARIO (mm),int64 
5,PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)	,float64
6,PRESSAO ATMOSFERICA MAX.NA HORA ANT.(AUT)(mB),float64
7,PRESSAO ATMOSFERICA MIN. NA HORA ANT.(AUT) (mB),float64
8,RADIACAO GLOBAL (W/m2),float64
9,TEMPERATURA DO AR - BULBO SECO HORARIA (C),float64
10,TEMPERATURA DO PONTO DE ORVALHO (C),float64
11,TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),float64
12,TEMPERATURA MINIMA NA HORA ANT. (AUT) (C),float64
13,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C),float64
14,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C),float64
15,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),float64
16,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),float64
17,UMIDADE RELATIVA DO AR HORARIA (%),float64
18,VENTO, DIRECAO HORARIA (gr),float64
19,VENTO, RAJADA MAXIMA (m/s),float64
20,VENTO, VELOCIDADE HORARIA (m/s),float64
